workload,seed,n,label_nonpositive,prediction_nonpositive,q_mean,q_median,q_p90,q_p95,q_p99,q_max
job_light,0,70,0,0,35.24441336313673,7.012663774587871,111.95388556493774,155.44298912516408,233.1825067038527,233.8740436502891
job_light,1,70,0,0,21.892637085586223,6.617473195352908,43.392366301290856,111.34589154858433,186.36098776702903,250.31093748126509
job_light,2,70,0,0,22.51402445397585,11.56541056705774,57.50940367570912,91.58490897712845,205.2032192562997,226.27491751479778
job_light,pooled,210,0,0,26.5503583008996,7.759242376139309,76.1038856509293,131.65636635212292,232.27809531076568,250.31093748126509
job,0,113,0,0,71.86128912722876,10.935539483662911,46.73385570375042,72.7808532389828,1472.0408733278523,3359.1240761757845
job,1,113,0,0,43.22644891864706,8.982263288152277,28.372917539913068,55.16141193639288,281.8004033375452,2937.2054573016676
job,2,113,0,0,37.36321566096376,4.565309922306909,26.043892047241815,51.19042661735163,329.4770465333997,2727.6844223109906
job,pooled,339,0,0,50.81698456894652,7.319610332206082,35.70504022189597,66.93073940472965,1465.2785744660102,3359.1240761757845
job_complex,0,30,0,0,9.078520234858496,5.105802813895389,24.1276882950857,24.972705853593624,25.5421275010664,25.671418920806367
job_complex,1,30,0,0,12.988023998994729,5.921369738932279,42.355237906801136,43.54947752426073,44.3058985284393,44.530170078385865
job_complex,2,30,0,0,14.486645973903347,3.9154265987463805,59.461206871909276,60.69265309203698,61.38568956102381,61.62154029804099
job_complex,pooled,90,0,0,12.184396735918858,4.922036687253184,41.13180870069646,51.445217683899315,60.897722518919295,61.62154029804099
