dataset,workload,join_count,node_class,n,query_count,q_mean,q_median,q_p90,q_p95,q_p99,q_max,over_frac,under_frac
Hollywood200K,JOB,0,scan,977,113,119.47555866069435,1.0,3.116422976694208,43.39999999999969,451.92583724138234,36690.0,0.14329580348004095,0.17911975435005117
Hollywood200K,JOB,1,join,123,113,478.31994373165844,8.219409282700422,162.90625,1515.15625,2812.7,36690.0,0.2926829268292683,0.6666666666666666
Hollywood200K,JOB,2,join,103,103,592.1437294348077,12.0,577.433077765607,1515.15625,3968.221600000001,36690.0,0.2621359223300971,0.6893203883495146
Hollywood200K,JOB,3,join,113,113,558.9450759652519,21.0,412.94545454545454,1281.5418502202642,6494.187999999982,36690.0,0.19469026548672566,0.7522123893805309
Hollywood200K,JOB,4,join,110,110,2728.032719931282,33.01428571428572,1873.405000000004,13833.199999999959,63190.649999999936,73380.0,0.2,0.7545454545454545
Hollywood200K,JOB,5,join,90,90,3496.4147107834824,28.516492384250697,3319.1000000000004,6760.974999999996,59328.469999999936,162192.0,0.14444444444444443,0.7666666666666667
Hollywood200K,JOB,6,join,88,88,7729.163341647617,28.516492384250697,9789.199999999999,17708.249999999924,148999.61999999866,405540.0,0.125,0.7727272727272727
Hollywood200K,JOB,7,join,72,72,17095.072466837068,18.4635761589404,15820.049999999994,22362.0,323696.80000000587,992602.0,0.06944444444444445,0.8472222222222222
Hollywood200K,JOB,8,join,51,51,13842.818305223365,22.0,19531.0,35085.5,269610.5,486605.0,0.0392156862745098,0.9019607843137255
Hollywood200K,JOB,9,join,37,37,17949.867329856253,22.0,11131.0,43037.79999999971,346462.76000000024,486605.0,0.02702702702702703,0.8648648648648649
Hollywood200K,JOB,10,join,30,30,22321.867592592593,25.0,12964.600000000026,66786.69999999981,373712.64000000036,486605.0,0.0,0.9666666666666667
Hollywood200K,JOB,11,join,20,20,1200.125,14.0,1827.2500000000086,7681.175000000005,13178.634999999991,14553.0,0.0,0.85
Hollywood200K,JOB,12,join,9,9,1822.1296296296293,160.0,7056.4,7221.2,7353.04,7386.0,0.0,1.0
Hollywood200K,JOB,13,join,9,9,1461.611111111111,179.0,4694.8,5834.399999999999,6746.08,6974.0,0.0,1.0
Hollywood200K,JOB,14,join,3,3,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,0.0,0.6666666666666666
Hollywood200K,JOB,15,join,3,3,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,0.0,0.6666666666666666
Hollywood200K,JOB,16,join,3,3,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,0.0,0.6666666666666666
Hollywood200K,JOB-Complex,0,scan,320,30,11.666550615066967,1.0,9.908783783783786,73.77151898734178,200.03333333333333,212.33333333333334,0.146875,0.225
Hollywood200K,JOB-Complex,1,join,34,30,46.24441986134664,10.357400709499682,157.7093023255814,162.90625,175.07335063559324,181.06610169491526,0.14705882352941177,0.7941176470588235
Hollywood200K,JOB-Complex,2,join,29,29,60.04254991302795,17.174867021276597,167.83908045977012,178.23966101694913,210.05850847457623,221.33333333333334,0.1724137931034483,0.8275862068965517
Hollywood200K,JOB-Complex,3,join,30,30,241.81631201517848,23.226738241308794,282.88940144014407,394.70308441558404,3349.4271428571465,4533.0,0.16666666666666666,0.8
Hollywood200K,JOB-Complex,4,join,28,28,1596.736858084721,45.3296349901329,952.0725274725285,3669.8499999999963,27257.818888888905,35662.88888888889,0.07142857142857142,0.8571428571428571
Hollywood200K,JOB-Complex,5,join,30,30,1818.5345184767061,33.53125,3765.550000000001,8211.27749999998,25206.701750000015,30871.975,0.06666666666666667,0.6666666666666666
Hollywood200K,JOB-Complex,6,join,29,29,23221.579525974084,23.638655462184875,5651.930136986297,24340.38027397255,454032.25599999935,617439.5,0.034482758620689655,0.7241379310344828
Hollywood200K,JOB-Complex,7,join,25,25,52094.88844232043,293.2857142857143,4608.030136986302,37290.724331376274,949676.8542857119,1235222.0,0.04,0.92
Hollywood200K,JOB-Complex,8,join,22,22,63986.539103441755,313.0,13135.946341463417,122471.87479674788,1002750.8799999991,1235222.0,0.045454545454545456,0.9545454545454546
Hollywood200K,JOB-Complex,9,join,14,14,7391.448925815385,2879.9463768115943,17551.04545454546,25076.899999999994,34090.57999999999,36344.0,0.0,1.0
Hollywood200K,JOB-Complex,10,join,14,14,7010.485569154348,3674.0,14085.544155844156,21915.83181818181,33458.36636363635,36344.0,0.0,1.0
Hollywood200K,JOB-Complex,11,join,13,13,24876.85668597422,660.0,67424.65906783576,128818.44772727255,187408.8895454544,202056.5,0.0,1.0
Hollywood200K,JOB-Complex,12,join,12,12,29095.309728203083,167.60526315789474,72775.97159090912,157526.24374999988,233336.4487500001,252289.0,0.0,0.9166666666666666
Hollywood200K,JOB-Complex,13,join,7,7,316809.17130488565,3424.0,946902.9432900439,1417100.9121212112,1793259.2871861465,1887298.880952381,0.0,1.0
Hollywood200K,JOB-Complex,14,join,2,2,1025.5,1025.5,1574.7,1643.35,1698.27,1712.0,0.0,1.0
Hollywood200K,JOB-Complex,15,join,1,1,1712.0,1712.0,1712.0,1712.0,1712.0,1712.0,0.0,1.0
Hollywood200K,JOB-Light,0,scan,254,70,1.874685948331571,1.001410217127846,2.3,4.403787878787867,22.0,22.0,0.4330708661417323,0.29133858267716534
Hollywood200K,JOB-Light,1,join,70,70,2.382398408464621,1.0663851403514188,2.6842105263157894,6.840909090909091,19.226894420903964,21.166666666666668,0.6,0.37142857142857144
Hollywood200K,JOB-Light,2,join,67,67,10.884352169866006,1.3,9.159484848484839,25.307751937984442,259.20898305084745,260.0948093220339,0.4626865671641791,0.5223880597014925
Hollywood200K,JOB-Light,3,join,35,35,17.924843460694564,2.216867469879518,14.73064424298166,88.83659957627052,256.655063559322,258.83156779661016,0.5714285714285714,0.42857142857142855
Hollywood200K,JOB-Light,4,join,12,12,3.8486306564588926,3.6454545454545455,4.1213136296227155,6.9050619397131285,9.616702213133127,10.294612281488122,0.5833333333333334,0.4166666666666667
