dataset,workload,method,n,query_count,q_mean,q_median,q_p90,q_p95,q_p99,q_max,over_frac,under_frac
Hollywood200K,JOB,MSCN cost,339,113,82.01696259905943,2.6638538407638053,103.14054444679499,281.30971978781395,806.8964382293767,6481.756083711616,0.35988200589970504,0.640117994100295
Hollywood200K,JOB,PostgreSQL cost,113,113,43.3761600342475,3.0554569613928795,16.62966443297871,136.90054086706616,469.10035073215704,2970.0182792319633,0.6637168141592921,0.336283185840708
Hollywood200K,JOB,ZeroShot pretrained,339,113,50.816984568946545,7.3196103322060875,35.70504022189597,66.93073940472974,1465.2785744660125,3359.1240761757845,0.7817109144542773,0.2182890855457227
Hollywood200K,JOB-Complex,MSCN cost,90,30,12.765609586651461,2.789671753983946,30.719320282873795,83.16562579384224,137.0649309381446,162.36706978106739,0.17777777777777778,0.8222222222222222
Hollywood200K,JOB-Complex,PostgreSQL cost,30,30,7.143404969518768,2.7612613727120534,9.99714609442337,24.236345594992656,49.02932187606137,57.00248695912891,0.5333333333333333,0.4666666666666667
Hollywood200K,JOB-Complex,ZeroShot pretrained,90,30,12.184396735918876,4.922036687253184,41.131808700696595,51.445217683899465,60.89772251891948,61.621540298041154,0.8,0.2
Hollywood200K,JOB-Light,MSCN cost,210,70,285.2553678995862,5.098279902400527,430.439795316608,1286.8751604010781,5494.449088277285,13444.810393814992,0.19047619047619047,0.8095238095238095
Hollywood200K,JOB-Light,PostgreSQL cost,70,70,3.275941456123723,1.759648059229618,5.712265364396947,12.74627290944814,23.33184081084025,31.75272884575823,0.3142857142857143,0.6857142857142857
Hollywood200K,JOB-Light,ZeroShot pretrained,210,70,26.55035830090018,7.759242376139309,76.10388565092951,131.65636635212283,232.27809531079123,250.3109374812943,0.8904761904761904,0.10952380952380952
